dataset,tiers,baseline,method,mean_aurc_delta,ci_lo,ci_hi,excludes_zero,beats_baseline,mean_ci_lo,mean_ci_hi,mean_effect_excludes_zero,mean_effect_beats_baseline,n_seeds,n_boot_total
german_credit,ABC,signal_msp,signal_calib_residual,0.038193017054344594,-0.009471992918114123,0.10187407137571854,False,False,0.024391375256258577,0.053146651812659436,True,False,10,10000
german_credit,ABC,signal_msp,signal_energy,0.0,0.0,0.0,False,False,0.0,0.0,False,False,10,10000
german_credit,ABC,signal_msp,signal_ensemble_mean_pairwise_kl,0.006812682751666209,-0.03864135203723219,0.04445107995099644,False,False,-0.001966208332530606,0.016089646501816747,False,False,10,10000
german_credit,ABC,signal_msp,signal_ensemble_topclass_variance,0.00416005170072479,-0.045147008692321716,0.039831191919993486,False,False,-0.004685720400180815,0.013275775134825005,False,False,10,10000
german_credit,ABC,signal_msp,signal_ensemble_vote_entropy,0.07394968614922669,-0.024303675873697368,0.16690003433207692,False,False,0.04868875210727079,0.0995530320375657,True,False,10,10000
german_credit,ABC,signal_msp,signal_entropy,0.0,0.0,0.0,False,False,0.0,0.0,False,False,10,10000
german_credit,ABC,signal_msp,signal_knn_distance,0.06856872163955292,-0.032754635570873936,0.16790225243928958,False,False,0.04520046427621067,0.09363712332807665,True,False,10,10000
german_credit,ABC,signal_msp,signal_local_label_agreement,0.01340507274911359,-0.0552674256311135,0.07963732347981886,False,False,-0.002048758623324634,0.029452647888821286,False,False,10,10000
german_credit,ABC,signal_msp,signal_mahalanobis,0.061456734743816695,-0.02822769519131601,0.15364979321489175,False,False,0.03823485281889688,0.08589893130845043,True,False,10,10000
german_credit,ABC,signal_msp,signal_margin_logit,0.0,0.0,0.0,False,False,0.0,0.0,False,False,10,10000
german_credit,ABC,signal_msp,signal_margin_prob,0.0,0.0,0.0,False,False,0.0,0.0,False,False,10,10000
german_credit,ABC,signal_msp,signal_temp_msp,0.0,0.0,0.0,False,False,0.0,0.0,False,False,10,10000
german_credit,ABC,signal_msp,signal_trust_score,0.017582915653388643,-0.061675989730836475,0.11043521265817673,False,False,-0.000445268499999143,0.035423773911089605,False,False,10,10000
