dataset,baseline,method,mean_aurc_delta,p_value,p_value_holm,significant_at_0.05
satimage,signal_msp,oracle,-0.007253205461494066,0.001953125,0.060546875,False
satimage,signal_msp,random,0.060439077991192205,0.001953125,0.060546875,False
satimage,signal_msp,signal_calib_residual,0.002495042693095196,0.001953125,0.060546875,False
satimage,signal_msp,signal_energy,0.0012775329420689169,0.001953125,0.060546875,False
satimage,signal_msp,signal_ensemble_mean_pairwise_kl,0.00079311260530092,0.00390625,0.07421875,False
satimage,signal_msp,signal_ensemble_topclass_variance,0.0007788095751317216,0.00390625,0.07421875,False
satimage,signal_msp,signal_ensemble_vote_entropy,0.050664733086327,0.001953125,0.060546875,False
satimage,signal_msp,signal_entropy,-6.854138993027045e-06,0.4921875,1.0,False
satimage,signal_msp,signal_knn_distance,0.039145640863065975,0.001953125,0.060546875,False
satimage,signal_msp,signal_local_label_agreement,0.006183824247867125,0.001953125,0.060546875,False
satimage,signal_msp,signal_logitnorm_msp,0.001116078788092742,0.00390625,0.07421875,False
satimage,signal_msp,signal_mahalanobis,0.044523072182464665,0.001953125,0.060546875,False
satimage,signal_msp,signal_margin_logit,1.1497671378885715e-05,0.625,1.0,False
satimage,signal_msp,signal_margin_prob,4.766117910823178e-06,0.625,1.0,False
satimage,signal_msp,signal_temp_msp,8.161394692226126e-05,0.193359375,1.0,False
satimage,signal_msp,signal_trust_score,0.0012313824592360165,0.193359375,1.0,False
wine_quality_white,signal_msp,A0_rank,-0.022716828907788124,0.001953125,0.060546875,False
wine_quality_white,signal_msp,A1_lightgbm,-0.03355834164744288,0.001953125,0.060546875,False
wine_quality_white,signal_msp,A1_logreg,-0.04281579296263196,0.001953125,0.060546875,False
wine_quality_white,signal_msp,A1_logreg_naive_meta,-0.040018197304277706,0.001953125,0.060546875,False
wine_quality_white,signal_msp,A2_adaptive_loss3,-0.02936905673841611,0.001953125,0.060546875,False
wine_quality_white,signal_msp,A2_mlp_bce,-0.036113130624647785,0.001953125,0.060546875,False
wine_quality_white,signal_msp,A2_mlp_loss1,-0.021310657840828025,0.001953125,0.060546875,False
wine_quality_white,signal_msp,A2_mlp_loss2,-0.031380612946886946,0.001953125,0.060546875,False
wine_quality_white,signal_msp,A2_mlp_loss3,-0.03522865464114736,0.001953125,0.060546875,False
wine_quality_white,signal_msp,A2_rl_bandit,-0.03944523398018531,0.001953125,0.060546875,False
wine_quality_white,signal_msp,A2_rl_c0.5,0.09018802916017686,0.001953125,0.060546875,False
wine_quality_white,signal_msp,A2_rl_c1.0,-0.015721516701491835,0.02734375,0.1640625,False
wine_quality_white,signal_msp,A2_rl_c10.0,-0.03944523398018531,0.001953125,0.060546875,False
wine_quality_white,signal_msp,A2_rl_c3.0,-0.03599725900090025,0.001953125,0.060546875,False
wine_quality_white,signal_msp,A2_rl_linear,-0.027436247225774684,0.001953125,0.060546875,False
wine_quality_white,signal_msp,oracle,-0.12646856967336817,0.001953125,0.060546875,False
wine_quality_white,signal_msp,random,0.1453033294083877,0.001953125,0.060546875,False
wine_quality_white,signal_msp,signal_calib_residual,0.10662723474771667,0.001953125,0.060546875,False
wine_quality_white,signal_msp,signal_energy,0.016745633169913635,0.009765625,0.068359375,False
wine_quality_white,signal_msp,signal_ensemble_mean_pairwise_kl,-0.014865559633869142,0.001953125,0.060546875,False
