dataset,tiers,baseline,method,mean_aurc_delta,ci_lo,ci_hi,excludes_zero,beats_baseline,mean_ci_lo,mean_ci_hi,mean_effect_excludes_zero,mean_effect_beats_baseline,n_seeds,n_boot_total
letter,AC,signal_msp,signal_trust_score,0.0007884363013797975,-4.6384201658310136e-05,0.002141050953653198,False,False,0.00056698509258904,0.0010343427840882782,True,False,10,15000
satimage,AC,signal_msp,A0_rank,0.00021817903998168987,-0.0011935649073331082,0.0014898459313548483,False,False,-0.00012615939150133817,0.0005557076953086584,False,False,10,15000
satimage,AC,signal_msp,A1_lightgbm,0.004100153623830683,-0.0008340124807794637,0.014652053438117681,False,False,0.002352436306958252,0.005989285697342678,True,False,10,15000
satimage,AC,signal_msp,A1_logreg,-0.0006425545251092816,-0.0021811791183707226,0.000574715573327061,False,False,-0.0010140235559351193,-0.0003035937208627155,True,True,10,15000
satimage,AC,signal_msp,A1_logreg_naive_meta,-0.000507851815214584,-0.0024962982365934715,0.001011341036164147,False,False,-0.001000122364631891,-8.941104496040225e-05,True,True,10,15000
satimage,AC,signal_msp,A2_adaptive_loss3,0.0006040236977489095,-0.00173261861999704,0.003036372199926043,False,False,1.0927555677229303e-05,0.0011714310343683345,True,False,10,15000
satimage,AC,signal_msp,A2_mlp_bce,0.0009959841996823912,-0.002213718800133085,0.005255936725825919,False,False,0.00017936937022415987,0.001781421093697275,True,False,10,15000
satimage,AC,signal_msp,A2_mlp_loss1,0.00020291070718927862,-0.001009053888352995,0.002002845036035184,False,False,-9.991657145783396e-05,0.0005088805799346867,False,False,10,15000
satimage,AC,signal_msp,A2_mlp_loss2,-1.6188707983575677e-05,-0.0012728945425083326,0.0010740967492507154,False,False,-0.00031567278674530705,0.00027031388011916803,False,False,10,15000
satimage,AC,signal_msp,A2_mlp_loss3,0.0015736201923552287,-0.0021766635639531916,0.008190912132267187,False,False,0.0005564951209883856,0.00264814859323356,True,False,10,15000
satimage,AC,signal_msp,oracle,-0.007422084515891572,-0.012037969309464311,-0.0035759253315348952,True,True,-0.008405775022167298,-0.006442121292897426,True,True,10,15000
satimage,AC,signal_msp,random,0.05966241895464484,0.036614903285115165,0.0855012143595481,True,False,0.05334285442234178,0.0661673256486435,True,False,10,15000
satimage,AC,signal_msp,signal_calib_residual,0.002346052647402483,-0.00029880716637079214,0.007785735991420435,False,False,0.0016235263366655723,0.00313858936207126,True,False,10,15000
satimage,AC,signal_msp,signal_energy,0.0010510119908998948,-0.000673689451256551,0.0027659623389514124,False,False,0.0006540849010982912,0.0014615685229043209,True,False,10,15000
satimage,AC,signal_msp,signal_entropy,-1.2492122025865434e-05,-9.453603631615103e-05,5.638303705354267e-05,False,False,-3.334714904376748e-05,6.924591203952917e-06,False,False,10,15000
satimage,AC,signal_msp,signal_knn_distance,0.03900332765891433,0.02184243868773315,0.05848108399454325,True,False,0.03456098467967989,0.043756236400236785,True,False,10,15000
satimage,AC,signal_msp,signal_local_label_agreement,0.006399521500307001,-0.0009252417473650699,0.01720679660275694,False,False,0.004241973386909701,0.008670325261380774,True,False,10,15000
satimage,AC,signal_msp,signal_logitnorm_msp,0.0008708498092278481,-0.0016256881689838184,0.0034133887931884223,False,False,0.000335930234515986,0.0013817729541822181,True,False,10,15000
satimage,AC,signal_msp,signal_mahalanobis,0.0435526648872637,0.024697300843953534,0.0645711835806118,True,False,0.03862669983658016,0.0486001307127684,True,False,10,15000
satimage,AC,signal_msp,signal_margin_logit,6.667451633128061e-05,-0.0001286192380326196,0.0007174881734881932,False,False,-6.276330807415689e-06,0.00017717783811177244,False,False,10,15000
